dir	RunInd	Encode	length	fil1	fil2	ReadNber
47	111214_0267_D067GACXX_1_SA-PE-010	Sanger / Illumina 1.9	101	111214_0267_D067GACXX_1_SA-PE-010_1.sanfastq.gz	111214_0267_D067GACXX_1_SA-PE-010_2.sanfastq.gz	35364232
48	111214_0267_D067GACXX_1_SA-PE-011	Sanger / Illumina 1.9	101	111214_0267_D067GACXX_1_SA-PE-011_1.sanfastq.gz	111214_0267_D067GACXX_1_SA-PE-011_2.sanfastq.gz	34026692
5	111020_0145_D070RACXX_4_SA-PE-010	Sanger / Illumina 1.9	101	111020_0145_D070RACXX_4_SA-PE-010_1.sanfastq.gz	111020_0145_D070RACXX_4_SA-PE-010_2.sanfastq.gz	18548282
57	111214_0267_D067GACXX_1_SA-PE-012	Sanger / Illumina 1.9	101	111214_0267_D067GACXX_1_SA-PE-012_1.sanfastq.gz	111214_0267_D067GACXX_1_SA-PE-012_2.sanfastq.gz	32647604
63	111214_0267_D067GACXX_1_SA-PE-013	Sanger / Illumina 1.9	101	111214_0267_D067GACXX_1_SA-PE-013_1.sanfastq.gz	111214_0267_D067GACXX_1_SA-PE-013_2.sanfastq.gz	53432800
64	111012_0263_C03GTACXX_3_SA-PE-006	Sanger / Illumina 1.9	101	111012_0263_C03GTACXX_3_SA-PE-006_1.sanfastq.gz	111012_0263_C03GTACXX_3_SA-PE-006_2.sanfastq.gz	24974774
68	111012_0263_C03GTACXX_2_SA-PE-004	Sanger / Illumina 1.9	101	111012_0263_C03GTACXX_2_SA-PE-004_1.sanfastq.gz	111012_0263_C03GTACXX_2_SA-PE-004_2.sanfastq.gz	32232606
70	111012_0263_C03GTACXX_2_SA-PE-005	Sanger / Illumina 1.9	101	111012_0263_C03GTACXX_2_SA-PE-005_1.sanfastq.gz	111012_0263_C03GTACXX_2_SA-PE-005_2.sanfastq.gz	18321880
74	111012_0263_C03GTACXX_3_SA-PE-007	Sanger / Illumina 1.9	101	111012_0263_C03GTACXX_3_SA-PE-007_1.sanfastq.gz	111012_0263_C03GTACXX_3_SA-PE-007_2.sanfastq.gz	25461370
76	110802_0249_D0CM0ABXX_1_SA-PE-002	Illumina 1.5	101	110802_0249_D0CM0ABXX_1_SA-PE-002_1.solfastq.gz	110802_0249_D0CM0ABXX_1_SA-PE-002_2.solfastq.gz	17418146
77	110802_0249_D0CM0ABXX_1_SA-PE-003	Illumina 1.5	101	110802_0249_D0CM0ABXX_1_SA-PE-003_1.solfastq.gz	110802_0249_D0CM0ABXX_1_SA-PE-003_2.solfastq.gz	22819522
79	110802_0249_D0CM0ABXX_1_SA-PE-004	Illumina 1.5	101	110802_0249_D0CM0ABXX_1_SA-PE-004_1.solfastq.gz	110802_0249_D0CM0ABXX_1_SA-PE-004_2.solfastq.gz	20833252
80	110802_0249_D0CM0ABXX_1_SA-PE-005	Illumina 1.5	101	110802_0249_D0CM0ABXX_1_SA-PE-005_1.solfastq.gz	110802_0249_D0CM0ABXX_1_SA-PE-005_2.solfastq.gz	19447772
81	111012_0263_C03GTACXX_3_SA-PE-008	Sanger / Illumina 1.9	101	111012_0263_C03GTACXX_3_SA-PE-008_1.sanfastq.gz	111012_0263_C03GTACXX_3_SA-PE-008_2.sanfastq.gz	33196368
