""	"Cytisus"	"Lathyrus"	"L.corn."	"L.ped."	"Medicago"	"Ononis"	"Pisum"	"Trifolium"	"MeanDecreaseAccuracy"	"MeanDecreaseGini"
"Control_g120_5_2"	"-0.0014"	"1e-04"	"0.0041"	"0.0062"	"0.0063"	"0.0018"	"0.0084"	"-0.0029"	"0.0033"	"0.275"
"PMT_19_1_1"	"0.0125"	"0"	"0.002"	"0.0049"	"3e-04"	"8e-04"	"0.004"	"0.0034"	"0.0026"	"0.2726"
"Gr_g60_2_2"	"0.0023"	"0.0233"	"0.0021"	"6e-04"	"0.0022"	"0.0018"	"0.0023"	"0.0016"	"0.0039"	"0.2717"
"Control_g121_3_5"	"0.0058"	"0.0011"	"0.0086"	"0.0061"	"0.0082"	"0.0023"	"-7e-04"	"0.0019"	"0.0046"	"0.2711"
"PMT_23_1_1"	"0.0115"	"0"	"0.0016"	"0.0057"	"8e-04"	"0.0011"	"0.0031"	"0.0035"	"0.0028"	"0.2711"
"P450_g14_8_1"	"0.0022"	"0"	"0.0026"	"0.0049"	"0.0064"	"0.0012"	"0.0058"	"0.0026"	"0.0038"	"0.2681"
"Or_g65_5_1"	"0.0036"	"1e-04"	"0.0148"	"0.0011"	"0.0028"	"0.0029"	"0.0035"	"-0.001"	"0.0028"	"0.2633"
"Or_g60_5_1"	"0.0019"	"0.0209"	"0.0026"	"0.0012"	"0.0017"	"0.002"	"0.002"	"0.002"	"0.0036"	"0.2627"
"Control_g120_4_2"	"0"	"0"	"0.0029"	"0.0054"	"0.0057"	"0.0011"	"0.0062"	"-0.001"	"0.003"	"0.2548"
"P450_g14_7_2"	"4e-04"	"1e-04"	"0.0026"	"0.0042"	"0.0033"	"0.0018"	"0.0048"	"0.0021"	"0.0027"	"0.2537"
"PMT_289_1_1"	"0.0023"	"0.0219"	"0.0028"	"1e-04"	"0.0019"	"0.0022"	"0.0019"	"0.0015"	"0.0037"	"0.2527"
"PMT_236_1_1"	"0.0013"	"0.0207"	"0.0022"	"0.0017"	"0.0024"	"0.0028"	"0.0019"	"3e-04"	"0.0037"	"0.2518"
"Gr_g76_5_1"	"0.0015"	"0.0228"	"0.0026"	"0.0012"	"0.0019"	"0.0022"	"0.0018"	"0.0017"	"0.0039"	"0.2511"
"OBP_g5_6_1"	"0.0124"	"0"	"0.0018"	"0.0043"	"-2e-04"	"0.0011"	"0.0029"	"0.0037"	"0.0024"	"0.2505"
"PMT_649_1_2"	"8e-04"	"0.0216"	"0.0016"	"0.0018"	"0.002"	"0.0016"	"0.0016"	"0.0014"	"0.0036"	"0.2484"
