""	"Cytisus"	"Lathyrus"	"L.corn."	"L.ped."	"Medicago"	"Ononis"	"Pisum"	"Trifolium"	"MeanDecreaseAccuracy"	"MeanDecreaseGini"
"Or_g26_4_2"	"2e-04"	"0"	"0"	"0"	"2e-04"	"0"	"1e-04"	"0"	"1e-04"	"0.0813"
"Control_g14_11_2"	"5e-04"	"0.0028"	"9e-04"	"4e-04"	"5e-04"	"3e-04"	"7e-04"	"-3e-04"	"6e-04"	"0.0766"
"PMT_254_1_1"	"2e-04"	"0"	"0.0017"	"1e-04"	"2e-04"	"0"	"0"	"2e-04"	"3e-04"	"0.0729"
"PMT_270_1_1"	"2e-04"	"0"	"1e-04"	"1e-04"	"-2e-04"	"0"	"0.0024"	"0.001"	"4e-04"	"0.0723"
"Gr_g68_5_1"	"2e-04"	"0"	"0"	"0"	"2e-04"	"0"	"0.0022"	"1e-04"	"3e-04"	"0.07"
"PMT_647_1_1"	"2e-04"	"0"	"1e-04"	"0"	"-6e-04"	"0"	"1e-04"	"6e-04"	"0"	"0.0678"
"Gr_g64_1_1"	"1e-04"	"0"	"-3e-04"	"0"	"0"	"1e-04"	"-7e-04"	"1e-04"	"0"	"0.0662"
"Control_g161_5_5"	"3e-04"	"0"	"-2e-04"	"1e-04"	"0"	"1e-04"	"0.0024"	"-1e-04"	"2e-04"	"0.0637"
"PMT_280_1_1"	"1e-04"	"1e-04"	"-1e-04"	"4e-04"	"0"	"1e-04"	"6e-04"	"3e-04"	"2e-04"	"0.0583"
"OBP_g3_5_1"	"0"	"0"	"2e-04"	"6e-04"	"7e-04"	"0"	"3e-04"	"4e-04"	"4e-04"	"0.058"
"Gr_g38_1_3"	"-7e-04"	"0"	"2e-04"	"8e-04"	"-2e-04"	"1e-04"	"3e-04"	"2e-04"	"2e-04"	"0.0548"
"PMT_517_1_1"	"5e-04"	"0"	"2e-04"	"4e-04"	"-6e-04"	"0"	"5e-04"	"0"	"0"	"0.053"
"PMT_278_1_1"	"0"	"0"	"3e-04"	"9e-04"	"1e-04"	"2e-04"	"2e-04"	"5e-04"	"3e-04"	"0.0524"
"Gr_g43_5_1"	"0.0024"	"0"	"0"	"0"	"1e-04"	"0"	"1e-04"	"0"	"2e-04"	"0.0521"
"P450_g17_4_1"	"1e-04"	"0"	"1e-04"	"0"	"3e-04"	"0"	"-9e-04"	"6e-04"	"1e-04"	"0.0507"
"Gr_g75_2_6"	"9e-04"	"0"	"-3e-04"	"1e-04"	"0"	"1e-04"	"8e-04"	"2e-04"	"1e-04"	"0.0495"
"PMT_631_1_1"	"0"	"0"	"2e-04"	"-2e-04"	"1e-04"	"-1e-04"	"0"	"-1e-04"	"0"	"0.0485"
"PMT_516_1_1"	"2e-04"	"0"	"-1e-04"	"2e-04"	"-5e-04"	"0"	"4e-04"	"-3e-04"	"-1e-04"	"0.045"
"PMT_518_1_1"	"0"	"0"	"1e-04"	"7e-04"	"-5e-04"	"0"	"1e-04"	"-2e-04"	"0"	"0.0438"
"PMT_319_1_1"	"0"	"0"	"5e-04"	"0"	"-2e-04"	"0"	"0"	"1e-04"	"0"	"0.0436"
"PMT_515_1_1"	"0"	"0"	"-1e-04"	"1e-04"	"-3e-04"	"-1e-04"	"4e-04"	"-2e-04"	"-1e-04"	"0.0418"
"Control_g88_1_1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0.0369"
"PMT_521_1_1"	"0"	"0"	"2e-04"	"0"	"1e-04"	"0"	"1e-04"	"2e-04"	"1e-04"	"0.0367"
"Gr_g70_4_1"	"0"	"0"	"0"	"0"	"1e-04"	"0"	"1e-04"	"0"	"0"	"0.0363"
"Or_g9_3_2"	"1e-04"	"5e-04"	"1e-04"	"2e-04"	"2e-04"	"0"	"4e-04"	"-2e-04"	"2e-04"	"0.0361"
